Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
224.993,0.0,0.0,0.0,0.0,0.0,0.0
225.177,0.8858590301763544,0.0,0.0,0.0,0.0,0.0
225.3,0.8858590301763544,0.0,0.0,0.0,0.0,0.0
225.516,0.8206800471827811,0.0,0.0,0.0,0.0,0.0
225.74,0.7564181266197924,0.0,0.0,0.0,0.0,0.0
225.963,0.6901615897710723,0.0,0.0,0.0,0.0,0.0
226.186,0.6919075885658647,0.0,0.0,0.0,0.0,0.0
226.409,0.7569020848680165,0.0,0.0,0.0,0.0,0.0169491525423733
226.638,0.6896666595620686,0.0,0.0,0.0,0.0,0.0169491525423733
226.861,0.6903752712392732,0.0,0.0,0.0,0.0,0.0169491525423733
227.096,0.6954660587026419,0.0,0.0,0.0,0.0,0.0169491525423733
227.181,0.7508700108612844,0.0,0.0,0.0,0.0,0.050847457627119064
227.429,0.7576219612459397,0.0,0.0,0.0,0.0,0.050847457627119064
227.658,0.7506572851848395,0.0,0.0,0.0,0.0,0.050847457627119064
227.884,0.753450712366491,0.0,0.0,0.0,0.0,0.050847457627119064
228.11,0.7537866145423321,0.0,0.0,0.0,0.0,0.050847457627119064
228.335,0.7567800531001742,0.0,0.0,0.0,0.0,0.050847457627119064
228.552,0.757006936223452,0.0,0.0,0.0,0.0,0.050847457627119064
228.77,0.6940483418848024,0.0,0.0,0.0,0.0,0.050847457627119064
228.981,0.6966217548126896,0.0,0.0,0.0,0.0,0.050847457627119064
229.198,0.6887351075091469,0.0,0.0,0.0,0.0,0.050847457627119064
229.415,0.7540692367175778,0.0,0.0,0.0,0.0,0.08474576271186482
229.606,0.6970022511048797,0.0,0.0,0.0,0.0,0.08474576271186482
229.794,0.7502992405302534,0.0,0.0,0.0,0.0,0.050847457627119064
229.915,0.7555359264835334,0.0,0.0,0.0,0.0,0.050847457627119064
230.036,0.7510779582002444,0.0,0.0,0.0,0.0,0.08474576271186482
230.152,0.7502007481615912,0.0,0.0,0.0,0.0,0.08474576271186482
230.252,0.7503189891914003,0.0,0.0,0.0,0.0,0.08474576271186482
230.364,0.7501654989487284,0.0,0.0,0.0,0.0,0.050847457627119064
230.461,0.6904861622108848,0.0,0.0,0.0,0.0,0.050847457627119064
230.572,0.7510515495118028,0.0,0.0,0.0,0.0,0.0169491525423733
230.679,0.8136264687310554,0.0,0.0,0.0,0.0,-0.08474576271186399
230.799,0.8178082300084207,0.0,0.0,0.0,0.0,-0.11864406779660974
230.923,0.7552497667459849,0.0,0.0,0.0,0.0,-0.11864406779660974
231.02,0.7539036468715504,0.0,0.0,0.0,0.0,-0.11864406779660974
231.142,0.8855921921793087,0.0,0.0,0.0,0.0,-0.18644067796610123
231.249,0.8150332187572595,0.0,0.0,0.0,0.0,-0.1525423728813555
231.36,0.8796581391650294,0.0,0.0,0.0,0.0,-0.18644067796610123
231.456,0.8751985443220267,0.0,0.0,0.0,0.0,-0.18644067796610123
231.564,0.8808606561490683,0.0,0.0,0.0,0.0,-0.18644067796610123
231.684,0.8752122457072075,0.0,0.0,0.0,0.0,-0.18644067796610123
231.798,0.879761333867895,0.0,0.0,0.0,0.0,-0.22033898305084704
231.926,0.8760820710900781,0.0,0.0,0.0,0.0,-0.22033898305084704
232.063,0.8776494820233144,0.0,0.0,0.0,0.0,-0.32203389830508433
232.171,0.8779975111643593,0.0,0.0,0.0,0.0,-0.35593220338983006
232.29,0.8762364263373364,0.0,0.0,0.0,0.0,-0.35593220338983006
232.411,0.8769564595537506,0.0,0.0,0.0,0.0,-0.3898305084745759
232.535,0.8789202499842449,0.0,0.0,0.0,0.0,-0.3898305084745759
232.644,0.8776839641992901,0.0,0.0,0.0,0.0,-0.3898305084745759
232.759,0.8773566955019129,0.0,0.0,0.0,0.0,-0.3898305084745759
232.867,0.8778918277295328,0.0,0.0,0.0,0.0,-0.3898305084745759
232.974,0.8173523101790593,0.0,0.0,0.0,0.0,-0.3898305084745759
233.089,0.8196594600365985,0.0,0.0,0.0,0.0,-0.3898305084745759
233.239,0.814647936343233,0.0,0.0,0.0,0.0,-0.35593220338983006
233.456,0.8840751835945918,0.0,0.0,0.0,0.0,-0.42372881355932174
233.691,0.8129555733349346,0.0,0.0,0.0,0.0,-0.3898305084745759
233.694,0.0,0.0,0.0,0.0,0.0,0.0
233.992,0.882746656309208,0.0,0.0,0.0,0.0,-0.3898305084745759
234.219,0.8826730871933938,0.0,0.0,0.0,0.0,-0.42372881355932174
234.377,0.8869227210072544,0.0,0.0,0.0,0.0,-0.49152542372881325
234.573,0.8798678945133539,0.0,0.0,0.0,0.0,-0.45762711864406747
234.816,0.8780369079688018,0.0,0.0,0.0,0.0,-0.45762711864406747
234.938,0.8804806687876069,0.0,0.0,0.0,0.0,-0.45762711864406747
235.069,0.8785054231463872,0.0,0.0,0.0,0.0,-0.42372881355932174
235.212,0.8812317740925774,0.0,0.0,0.0,0.0,-0.42372881355932174
235.311,0.8824127510991465,0.0,0.0,0.0,0.0,-0.42372881355932174
235.433,0.8791390050865838,0.0,0.0,0.0,0.0,-0.42372881355932174
235.545,0.8966615752516055,0.0,0.0,0.0,0.0,-0.42372881355932174
235.662,0.8176651795514221,0.0,0.0,0.0,0.0,-0.45762711864406747
235.794,0.8262403155299549,0.0,0.0,0.0,0.0,-0.45762711864406747
235.931,0.8431743583374437,0.0,0.0,0.0,0.0,-0.45762711864406747
236.064,0.8844708622374324,0.0,0.0,0.0,0.0,-0.35593220338983006
236.191,0.8945344904830489,0.0,0.0,0.0,0.0,-0.32203389830508433
236.339,0.8772333427137332,0.0,0.0,0.0,0.0,-0.32203389830508433
236.431,0.8849253537105278,0.0,0.0,0.0,0.0,-0.32203389830508433
236.514,0.8867658936246466,0.0,0.0,0.0,0.0,-0.35593220338983006
236.629,0.9036951658641738,0.0,0.0,0.0,0.0,-0.35593220338983006
236.725,0.8853340205300079,0.0,0.0,0.0,0.0,-0.32203389830508433
236.816,0.8859668406585496,0.0,0.0,0.0,0.0,-0.32203389830508433
236.914,0.8228785496855497,0.0,0.0,0.0,0.0,-0.28813559322033855
237.029,0.8229492003672504,0.0,0.0,0.0,0.0,-0.28813559322033855
237.202,0.8233962646920294,0.0,0.0,0.0,0.0,-0.28813559322033855
237.342,0.7658543665552612,0.0,0.0,0.0,0.0,-0.28813559322033855
237.486,0.75808776948115,0.0,0.0,0.0,0.0,-0.2542372881355927
237.622,0.7558122221493265,0.0,0.0,0.0,0.0,-0.2542372881355927
237.739,0.6918379530722654,0.0,0.0,0.0,0.0,-0.22033898305084704
237.822,0.6941427518436254,0.0,0.0,0.0,0.0,-0.22033898305084704
237.903,0.693777285488178,0.0,0.0,0.0,0.0,-0.22033898305084704
238.014,0.6303798372930266,0.0,0.0,0.0,0.0,-0.18644067796610123
238.108,0.6293872501387999,0.0,0.0,0.0,0.0,-0.18644067796610123
