Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
226.037,0.0,0.0,0.0,0.0,0.0,0.0
226.956,0.14997905869002431,0.0,0.0,0.0,0.0,-0.14888369720196712
227.108,0.27497449492179643,0.0,0.0,0.0,0.0,-0.27355716656171725
227.267,0.3567672522026463,0.0,0.0,0.0,0.0,-0.39854915785055506
227.534,0.48176587216609024,0.0,0.0,0.0,0.0,-0.46466977680553
227.767,0.584530608108761,0.0,0.0,0.0,0.0,-0.4070180933517841
228.034,0.7095306105535056,0.0,0.0,0.0,0.0,-0.28201809084824725
228.296,0.7335483027049764,0.0,0.0,0.0,0.0,-0.15701808834578246
228.529,0.6085483002525067,0.0,0.0,0.0,0.0,-0.03201808584792782
228.774,0.4835482977999041,0.0,0.0,0.0,0.0,0.09298191664917678
229.01,0.43466954683925224,0.0,0.0,0.0,0.0,0.2179798529803411
229.274,0.5596687677905465,0.0,0.0,0.0,0.0,0.34297083901056635
229.519,0.6846646752610054,0.0,0.0,0.0,0.0,0.46788066432729625
229.793,0.8096634996686051,0.0,0.0,0.0,0.0,0.5928553047177747
230.048,0.9346599641890991,0.0,0.0,0.0,0.0,0.5292260175960374
230.289,1.0596593456108128,0.0,0.0,0.0,0.0,0.40422863719943897
230.537,1.1299220684112405,0.0,0.0,0.0,0.0,0.2792334505193343
230.783,1.0049220659260782,0.0,0.0,0.0,0.0,0.15423344801829073
231.046,0.8799220634397513,0.0,0.0,0.0,0.0,0.029233445519585708
231.279,0.7549220674051466,0.0,0.0,0.0,0.0,-0.09576655668883947
231.511,0.6896673773619421,0.0,0.0,0.0,0.0,-0.22076359647668092
231.759,0.814484754646503,0.0,0.0,0.0,0.0,-0.3457519741691259
232.02,0.9394823044926579,0.0,0.0,0.0,0.0,-0.46674046984244333
232.263,1.0644802001911566,0.0,0.0,0.0,0.0,-0.3814247772246271
232.522,1.1492220252294594,0.0,0.0,0.0,0.0,-0.25645194970648527
232.877,1.0242220227626841,0.0,0.0,0.0,0.0,-0.13145194723601092
