Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
223.701,0.0,0.0,0.0,0.0,0.0,0.0
223.81,0.3012625299781304,0.0,0.0,0.0,0.0,0.008951031207965933
223.904,0.23153999967042338,0.0,0.0,0.0,0.0,0.008135998264455189
224.014,0.478186277732349,0.0,0.0,0.0,0.0,0.019433040587081462
224.115,0.4415258135789792,0.0,0.0,0.0,0.0,0.021479887678867205
224.2,0.6803898945189382,0.0,0.0,0.0,0.0,0.012809269781003236
224.312,0.8586776048193303,0.0,0.0,0.0,0.0,0.027535613906685383
224.418,0.8565609681662327,0.0,0.0,0.0,0.0,0.03064554987592117
224.506,1.0191153145452614,0.0,0.0,0.0,0.0,0.03623403032840625
224.603,1.0244437361216743,0.0,0.0,0.0,0.0,0.03369612832110118
224.709,1.2048505084501044,0.0,0.0,0.0,0.0,0.03659656040677293
224.807,1.206267781281358,0.0,0.0,0.0,0.0,0.03475707682214503
224.911,1.2285812633082969,0.0,0.0,0.0,0.0,0.018181703386215428
225.004,1.3662163597804944,0.0,0.0,0.0,0.0,0.023665371466721385
225.106,1.3848446534660084,0.0,0.0,0.0,0.0,0.021202985544502347
225.204,1.3768345317853046,0.0,0.0,0.0,0.0,0.0181386551773169
225.305,1.3555430314336379,0.0,0.0,0.0,0.0,0.012935597388692729
225.409,1.348290424019905,0.0,0.0,0.0,0.0,0.0062021596440147465
225.503,1.384358567013404,0.0,0.0,0.0,0.0,-0.003771297841007908
225.606,1.3973114939992675,0.0,0.0,0.0,0.0,-0.01788286570389528
225.708,1.3733380215471813,0.0,0.0,0.0,0.0,-0.0323413472975204
225.8,1.3937691997809791,0.0,0.0,0.0,0.0,-0.06012435964123193
225.91,1.405911668210143,0.0,0.0,0.0,0.0,-0.07060115209594627
226.004,1.4845770238969735,0.0,0.0,0.0,0.0,-0.08966100703061364
226.113,1.4339636443857666,0.0,0.0,0.0,0.0,-0.09004532212281989
226.21,1.377408900967667,0.0,0.0,0.0,0.0,-0.13542121129546708
226.309,1.377730693504037,0.0,0.0,0.0,0.0,-0.1385860895079065
226.402,1.3636155358740585,0.0,0.0,0.0,0.0,-0.07509113537900343
226.504,1.5461921573407171,0.0,0.0,0.0,0.0,-0.10085695159829369
226.606,1.5073350127328577,0.0,0.0,0.0,0.0,-0.09466783972651362
226.702,1.4414547702584757,0.0,0.0,0.0,0.0,-0.11461438419444776
226.804,1.5038941291936658,0.0,0.0,0.0,0.0,-0.07762188373787407
226.905,1.4250132981758328,0.0,0.0,0.0,0.0,-0.05885724543262905
227.013,1.3721002893728071,0.0,0.0,0.0,0.0,-0.057746982012896894
227.108,1.361384587136398,0.0,0.0,0.0,0.0,-0.051542632190469936
227.205,1.4285746050127957,0.0,0.0,0.0,0.0,-0.021136306226112695
227.302,1.3909206918595265,0.0,0.0,0.0,0.0,0.023244404288040643
227.404,1.3948439199111502,0.0,0.0,0.0,0.0,0.031657481980704005
227.503,1.3903785614219932,0.0,0.0,0.0,0.0,0.08857800340676404
227.604,1.5182201032663298,0.0,0.0,0.0,0.0,0.08820857238727105
227.705,1.3903946374760148,0.0,0.0,0.0,0.0,0.14244093281439693
227.802,1.286965616788045,0.0,0.0,0.0,0.0,-0.08412807565722952
227.904,1.4258787842167686,0.0,0.0,0.0,0.0,-0.07596351921508945
228.006,1.2713645972364032,0.0,0.0,0.0,0.0,0.07877217564947403
228.105,1.3482911726577271,0.0,0.0,0.0,0.0,0.01139397073940364
228.205,1.2359805713630325,0.0,0.0,0.0,0.0,0.0985734288286384
228.317,1.2444608425412256,0.0,0.0,0.0,0.0,0.06323111255455878
228.403,1.4051034860536276,0.0,0.0,0.0,0.0,-0.0800180608406552
228.503,1.2762881839131501,0.0,0.0,0.0,0.0,-0.12937036751358943
228.602,1.2720502070564603,0.0,0.0,0.0,0.0,-0.3768242000277638
228.702,1.4223770032444047,0.0,0.0,0.0,0.0,-0.4044253457117374
228.804,1.574540128064828,0.0,0.0,0.0,0.0,-0.588184083060655
228.904,1.3437048003277212,0.0,0.0,0.0,0.0,-0.7765769607743689
229.014,1.2895432405969502,0.0,0.0,0.0,0.0,-0.649779565716841
229.105,1.4382249402083103,0.0,0.0,0.0,0.0,-0.8329876398153172
229.201,1.141561840912767,0.0,0.0,0.0,0.0,-0.9357218490185067
229.302,0.8504229917054865,0.0,0.0,0.0,0.0,-0.8090677103276969
229.405,0.9488243531802437,0.0,0.0,0.0,0.0,-0.676187520609816
229.504,1.1162236528043732,0.0,0.0,0.0,0.0,-0.42731520014304375
229.603,1.2823921419934232,0.0,0.0,0.0,0.0,-0.4321134784790823
229.702,1.1236980294871695,0.0,0.0,0.0,0.0,-0.5574200869895223
229.807,1.0610683399592236,0.0,0.0,0.0,0.0,-0.5897988451216976
229.903,0.9989544302918951,0.0,0.0,0.0,0.0,-0.6163893586940032
230.013,0.8537459293743733,0.0,0.0,0.0,0.0,-0.3602259835766593
230.108,1.1056527412437844,0.0,0.0,0.0,0.0,-0.6981713042946042
230.205,0.6487998321376521,0.0,0.0,0.0,0.0,-0.5059584401835051
230.312,0.7370878648852418,0.0,0.0,0.0,0.0,-0.37018577086315685
230.418,0.7326360950342724,0.0,0.0,0.0,0.0,-0.5090869402279214
230.507,0.7962382010427347,0.0,0.0,0.0,0.0,-0.46000836708929377
230.617,0.9082967993978571,0.0,0.0,0.0,0.0,-0.5225988601163121
230.71,0.8959873331636209,0.0,0.0,0.0,0.0,-0.5251310279482758
230.802,0.8939323446341567,0.0,0.0,0.0,0.0,-0.6760996863659359
230.905,0.8928300258557832,0.0,0.0,0.0,0.0,-0.732573494610806
231.011,0.7961750287495692,0.0,0.0,0.0,0.0,-0.724300787635941
231.108,1.080306861406563,0.0,0.0,0.0,0.0,-0.8041058120765091
231.205,0.9390525089961553,0.0,0.0,0.0,0.0,-0.8080757764474927
231.303,0.9649404809280162,0.0,0.0,0.0,0.0,-0.8287516329255841
231.406,0.9637484312706428,0.0,0.0,0.0,0.0,-0.775189404660374
231.501,0.908386448402803,0.0,0.0,0.0,0.0,-0.6057387224280826
231.603,0.9662894567658263,0.0,0.0,0.0,0.0,-0.7016580531983412
231.703,1.0195545483842656,0.0,0.0,0.0,0.0,-0.6792495890988015
231.804,0.8867422964805274,0.0,0.0,0.0,0.0,-0.60903469117061
231.903,1.0324576459810146,0.0,0.0,0.0,0.0,-0.5476231328348203
232.003,1.0982864784312212,0.0,0.0,0.0,0.0,-0.5163991834061038
232.104,1.1879611582484413,0.0,0.0,0.0,0.0,-0.460954493928685
232.204,1.3471468437674354,0.0,0.0,0.0,0.0,-0.4240538267261763
232.303,1.3340047917950817,0.0,0.0,0.0,0.0,-0.3622998936365838
232.403,1.4174148639666126,0.0,0.0,0.0,0.0,-0.3242227508040248
232.504,1.3374693738681394,0.0,0.0,0.0,0.0,-0.2649512303073651
232.604,1.4008832307895418,0.0,0.0,0.0,0.0,-0.17798198808497215
232.702,1.4307064147166508,0.0,0.0,0.0,0.0,-0.11159951675690757
232.803,1.3618943346550951,0.0,0.0,0.0,0.0,-0.08434725201443945
232.903,1.3220020449476018,0.0,0.0,0.0,0.0,-0.06743578624084466
233.004,1.358082536290997,0.0,0.0,0.0,0.0,-0.008630754252294738
233.102,1.3916969329983913,0.0,0.0,0.0,0.0,0.09456301828013378
233.205,1.3763482575932762,0.0,0.0,0.0,0.0,0.024727996060335822
233.302,1.333090599156655,0.0,0.0,0.0,0.0,-0.024750876973667436
233.403,1.3436405015972541,0.0,0.0,0.0,0.0,0.08254635712716915
233.505,1.4012628903543858,0.0,0.0,0.0,0.0,0.17692094847029283
233.603,1.3809227368672843,0.0,0.0,0.0,0.0,0.12770380797619707
233.703,1.3005271755358363,0.0,0.0,0.0,0.0,-0.008693090346975036
233.805,1.3903584140452931,0.0,0.0,0.0,0.0,-0.14962250197222904
233.903,1.3421229784754207,0.0,0.0,0.0,0.0,-0.1650149034091379
234.002,1.3393884373812914,0.0,0.0,0.0,0.0,-0.18491198289678815
234.104,1.3242310715074295,0.0,0.0,0.0,0.0,-0.20938506351962963
234.204,1.3076381304438784,0.0,0.0,0.0,0.0,-0.03014730698102418
